Exception ERROR : 2025-03-27 12:34:48 | Code : 42S02 | Message : SQLSTATE[42S02]: Base table or view not found: 1146 Table 'dbknapsak10.commentaire' doesn't exist | Fichier : C:\wamp64\www\Web Projet\ProjetDiriger\Models\ItemModel.php | Ligne : 193
Exception ERROR : 2025-03-27 12:34:53 | Code : 42S02 | Message : SQLSTATE[42S02]: Base table or view not found: 1146 Table 'dbknapsak10.commentaire' doesn't exist | Fichier : C:\wamp64\www\Web Projet\ProjetDiriger\Models\ItemModel.php | Ligne : 193
Exception ERROR : 2025-03-27 12:34:55 | Code : 42S02 | Message : SQLSTATE[42S02]: Base table or view not found: 1146 Table 'dbknapsak10.commentaire' doesn't exist | Fichier : C:\wamp64\www\Web Projet\ProjetDiriger\Models\ItemModel.php | Ligne : 193
Exception ERROR : 2025-03-27 12:35:21 | Code : 42S02 | Message : SQLSTATE[42S02]: Base table or view not found: 1146 Table 'dbknapsak10.commentaire' doesn't exist | Fichier : C:\wamp64\www\Web Projet\ProjetDiriger\Models\ItemModel.php | Ligne : 193
Exception ERROR : 2025-03-27 12:42:52 | Code : 42000 | Message : SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '' at line 1 | Fichier : C:\wamp64\www\Web Projet\ProjetDiriger\Models\panier-model.php | Ligne : 380
Exception ERROR : 2025-03-27 12:43:35 | Code : 42000 | Message : SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '' at line 1 | Fichier : C:\wamp64\www\Web Projet\ProjetDiriger\Models\panier-model.php | Ligne : 380
Exception ERROR : 2025-03-27 13:06:43 | Code : 42000 | Message : SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE dbknapsak10.ItemGetById does not exist | Fichier : C:\wamp64\www\Web Projet\ProjetDiriger\Models\ItemModel.php | Ligne : 105
Exception ERROR : 2025-03-28 16:39:52 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
Exception ERROR : 2025-03-28 17:05:20 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
Exception ERROR : 2025-03-28 17:05:54 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
Exception ERROR : 2025-03-28 17:06:13 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
Exception ERROR : 2025-03-28 17:24:02 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
Exception ERROR : 2025-03-28 17:24:59 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
Exception ERROR : 2025-03-28 17:25:45 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
Exception ERROR : 2025-03-28 17:26:50 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
Exception ERROR : 2025-03-28 17:37:40 | Code : 22003 | Message : SQLSTATE[22003]: Numeric value out of range: 1690 BIGINT UNSIGNED value is out of range in '`dbknapsak10`.`items`.`quantiteStock` - pqtPanier@1' | Fichier : C:\wamp64\www\Projet\Models\panier-model.php | Ligne : 240
